category,dt_precision,dt_recall,dt_f1,rf_precision,rf_recall,rf_f1,test_support
BENIGN,0.9855,0.9989,0.9922,0.984,1.0,0.9919,7500
BruteForce,0.0,0.0,0.0,0.0,0.0,0.0,10
DDoS,0.9955,0.9985,0.997,0.9982,0.9995,0.9988,5506
DoS,0.9962,0.9888,0.9925,0.9992,0.9918,0.9955,1339
Malware,1.0,0.4,0.5714,0.0,0.0,0.0,10
Mirai,0.9954,0.9931,0.9942,1.0,0.9977,0.9988,433
Reconnaissance,0.8511,0.5634,0.678,0.8974,0.493,0.6364,71
Spoofing,0.814,0.4321,0.5645,0.6545,0.4444,0.5294,81
Web_Exploit,0.9444,0.34,0.5,1.0,0.18,0.3051,50
