,precision,precision,precision,recall,recall,recall,f1,f1,f1,fpr,fpr,fpr,model_size_kb,model_size_kb,model_size_kb
feature_set,SET_A_FULL_PUBLIC,SET_B_NETWORK_OBSERVABLE,SET_C_ESP32_ENDPOINT,SET_A_FULL_PUBLIC,SET_B_NETWORK_OBSERVABLE,SET_C_ESP32_ENDPOINT,SET_A_FULL_PUBLIC,SET_B_NETWORK_OBSERVABLE,SET_C_ESP32_ENDPOINT,SET_A_FULL_PUBLIC,SET_B_NETWORK_OBSERVABLE,SET_C_ESP32_ENDPOINT,SET_A_FULL_PUBLIC,SET_B_NETWORK_OBSERVABLE,SET_C_ESP32_ENDPOINT
model,,,,,,,,,,,,,,,
Decision Tree,0.99892,0.99905,0.99851,0.98693,0.98067,0.98547,0.99289,0.98977,0.99195,0.00107,0.00093,0.00147,8.38,8.23,10.26
Logistic Regression,0.99205,0.9908,0.89721,0.96507,0.96227,0.95893,0.97837,0.97633,0.92704,0.00773,0.00893,0.10987,1.04,0.88,0.8
Random Forest,1.0,0.99973,0.99986,0.98173,0.98373,0.9856,0.99078,0.99167,0.99268,0.0,0.00027,0.00013,1341.51,1212.89,1482.63
Small Neural Net (MLP),0.99959,0.99769,0.99986,0.97853,0.9776,0.97227,0.98895,0.98754,0.98587,0.0004,0.00227,0.00013,54.33,40.19,31.44
