,free_heap,heap_delta,loop_avg_ms,loop_max_ms,loop_jitter_ms,wifi_rssi,transaction_rate,byte_rate,avg_inter_arrival_ms,socket_errors
free_heap,1.0,0.9599716106611974,-0.15381854557212962,-0.34806029196103627,-0.28867968016208545,0.24938148837116164,-0.39381869517575074,-0.37190781965479874,0.2856422070444073,-0.34226968344199843
heap_delta,0.9599716106611974,1.0,-0.1441429993415353,-0.36248411685481535,-0.29619454312455823,0.25619317602195496,-0.40497717052925675,-0.37368643488555364,0.25560066989128133,-0.3518364406321211
loop_avg_ms,-0.15381854557212962,-0.1441429993415353,1.0,0.7539806487831806,0.8382565224211594,-0.1710795312317243,0.20474973393641718,0.20678583223681649,-0.2818183520546694,0.22276535202905604
loop_max_ms,-0.34806029196103627,-0.36248411685481535,0.7539806487831806,1.0,0.933004967982574,-0.5306850410074601,0.55793130297518,0.46650928684554055,-0.5249188681245597,0.617321080042722
loop_jitter_ms,-0.28867968016208545,-0.29619454312455823,0.8382565224211594,0.933004967982574,1.0,-0.46478229664552106,0.5120797697718886,0.43962229181594875,-0.4874499916757607,0.5235072260000454
wifi_rssi,0.24938148837116164,0.25619317602195496,-0.1710795312317243,-0.5306850410074601,-0.46478229664552106,1.0,-0.6203888351288978,-0.5281659267362875,0.5430092191962813,-0.5544339301726399
transaction_rate,-0.39381869517575074,-0.40497717052925675,0.20474973393641718,0.55793130297518,0.5120797697718886,-0.6203888351288978,1.0,0.9414496607524703,-0.6093491162194221,0.3460869712967973
byte_rate,-0.37190781965479874,-0.37368643488555364,0.20678583223681649,0.46650928684554055,0.43962229181594875,-0.5281659267362875,0.9414496607524703,1.0,-0.5562317705759819,0.18067463294602143
avg_inter_arrival_ms,0.2856422070444073,0.25560066989128133,-0.2818183520546694,-0.5249188681245597,-0.4874499916757607,0.5430092191962813,-0.6093491162194221,-0.5562317705759819,1.0,-0.3253714152040583
socket_errors,-0.34226968344199843,-0.3518364406321211,0.22276535202905604,0.617321080042722,0.5235072260000454,-0.5544339301726399,0.3460869712967973,0.18067463294602143,-0.3253714152040583,1.0
